best_epoch,best_epoch/train/accuracy,best_epoch/train/auroc,best_epoch/train/f1,best_epoch/train/loss,best_epoch/train/precision,best_epoch/train/recall,best_epoch/val/accuracy,best_epoch/val/auroc,best_epoch/val/f1,best_epoch/val/loss,best_epoch/val/precision,best_epoch/val/recall,epoch,lr-Adam,step,train/accuracy,train/auroc,train/f1,train/loss,train/precision,train/recall,val/accuracy,val/auroc,val/f1,val/loss,val/precision,val/recall
,,,,,,,,,,,,,,0.001,0,,,,,,,,,,,,
0.0,,,,,,,,,,0.27688366174697876,,,0,,84,0.9204376935958862,0.5179685354232788,0.4798664450645447,,0.522866427898407,0.5001161694526672,0.9207231998443604,0.48529577255249023,0.4793627858161926,0.27688366174697876,0.4603615999221802,0.5
,,,,,,,,,,,,,0,,84,,,,0.2925863564014435,,,,,,,,
,,,,,,,,,,,,,,0.001,85,,,,,,,,,,,,
1.0,0.9204376935958862,0.5179685354232788,0.4798664450645447,0.2925863564014435,0.522866427898407,0.5001161694526672,0.9207231998443604,0.48529577255249023,0.4793627858161926,0.2725302278995514,0.4603615999221802,0.5,1,,169,0.920715868473053,0.5214669108390808,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5496233701705933,0.4793627858161926,0.2725302278995514,0.4603615999221802,0.5
,,,,,,,,,,,,,1,,169,,,,0.2788955569267273,,,,,,,,
,,,,,,,,,,,,,,0.001,170,,,,,,,,,,,,
,,,,,,,,,,,,,2,,254,0.920715868473053,0.5270196795463562,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5002028942108154,0.4793627858161926,0.2791039049625397,0.4603615999221802,0.5
,,,,,,,,,,,,,2,,254,,,,0.2779129147529602,,,,,,,,
,,,,,,,,,,,,,,0.001,255,,,,,,,,,,,,
,,,,,,,,,,,,,3,,339,0.920715868473053,0.531303882598877,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.480334997177124,0.4793627858161926,0.2729990780353546,0.4603615999221802,0.5
,,,,,,,,,,,,,3,,339,,,,0.2771778106689453,,,,,,,,
,,,,,,,,,,,,,,0.001,340,,,,,,,,,,,,
,,,,,,,,,,,,,4,,424,0.920715868473053,0.4988889694213867,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5502986907958984,0.4793627858161926,0.2723594605922699,0.4603615999221802,0.5
,,,,,,,,,,,,,4,,424,,,,0.2811344563961029,,,,,,,,
,,,,,,,,,,,,,,0.001,425,,,,,,,,,,,,
,,,,,,,,,,,,,5,,509,0.920715868473053,0.5380107164382935,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5549023151397705,0.4793627858161926,0.27198198437690735,0.4603615999221802,0.5
,,,,,,,,,,,,,5,,509,,,,0.276762992143631,,,,,,,,
,,,,,,,,,,,,,,0.001,510,,,,,,,,,,,,
,,,,,,,,,,,,,6,,594,0.920715868473053,0.5161402225494385,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4854336380958557,0.4793627858161926,0.2745678126811981,0.4603615999221802,0.5
,,,,,,,,,,,,,6,,594,,,,0.2780715823173523,,,,,,,,
,,,,,,,,,,,,,,0.001,595,,,,,,,,,,,,
,,,,,,,,,,,,,7,,679,0.920715868473053,0.5201537013053894,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5547186136245728,0.4793627858161926,0.2744297981262207,0.4603615999221802,0.5
,,,,,,,,,,,,,7,,679,,,,0.27717605233192444,,,,,,,,
,,,,,,,,,,,,,,0.001,680,,,,,,,,,,,,
,,,,,,,,,,,,,8,,764,0.920715868473053,0.5356112718582153,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4956856966018677,0.4793627858161926,0.2763046622276306,0.4603615999221802,0.5
,,,,,,,,,,,,,8,,764,,,,0.2764199674129486,,,,,,,,
,,,,,,,,,,,,,,0.001,765,,,,,,,,,,,,
,,,,,,,,,,,,,9,,849,0.920715868473053,0.5304962396621704,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5550782084465027,0.4793627858161926,0.27184686064720154,0.4603615999221802,0.5
,,,,,,,,,,,,,9,,849,,,,0.2754145562648773,,,,,,,,
,,,,,,,,,,,,,,0.001,850,,,,,,,,,,,,
,,,,,,,,,,,,,10,,934,0.920715868473053,0.5254979729652405,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4854384660720825,0.4793627858161926,0.2721208333969116,0.4603615999221802,0.5
,,,,,,,,,,,,,10,,934,,,,0.2771654427051544,,,,,,,,
,,,,,,,,,,,,,,0.001,935,,,,,,,,,,,,
,,,,,,,,,,,,,11,,1019,0.920715868473053,0.5358486175537109,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.546137809753418,0.4793627858161926,0.2737502157688141,0.4603615999221802,0.5
,,,,,,,,,,,,,11,,1019,,,,0.27680501341819763,,,,,,,,
,,,,,,,,,,,,,,0.001,1020,,,,,,,,,,,,
,,,,,,,,,,,,,12,,1104,0.920715868473053,0.528023362159729,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5461646318435669,0.4793627858161926,0.2719440162181854,0.4603615999221802,0.5
,,,,,,,,,,,,,12,,1104,,,,0.27731746435165405,,,,,,,,
,,,,,,,,,,,,,,0.001,1105,,,,,,,,,,,,
,,,,,,,,,,,,,13,,1189,0.920715868473053,0.5305059552192688,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5463689565658569,0.4793627858161926,0.27210795879364014,0.4603615999221802,0.5
,,,,,,,,,,,,,13,,1189,,,,0.2763015031814575,,,,,,,,
,,,,,,,,,,,,,,0.001,1190,,,,,,,,,,,,
,,,,,,,,,,,,,14,,1274,0.920715868473053,0.5384136438369751,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.4889748990535736,0.4793627858161926,0.27375638484954834,0.4603615999221802,0.5
,,,,,,,,,,,,,14,,1274,,,,0.2761366367340088,,,,,,,,
,,,,,,,,,,,,,,0.001,1275,,,,,,,,,,,,
,,,,,,,,,,,,,15,,1359,0.920715868473053,0.5165561437606812,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5573365688323975,0.4793627858161926,0.27311691641807556,0.4603615999221802,0.5
,,,,,,,,,,,,,15,,1359,,,,0.2778659462928772,,,,,,,,
,,,,,,,,,,,,,,0.001,1360,,,,,,,,,,,,
,,,,,,,,,,,,,16,,1444,0.920715868473053,0.5295039415359497,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5580934286117554,0.4793627858161926,0.2724320590496063,0.4603615999221802,0.5
,,,,,,,,,,,,,16,,1444,,,,0.2774449586868286,,,,,,,,
,,,,,,,,,,,,,,0.001,1445,,,,,,,,,,,,
,,,,,,,,,,,,,17,,1529,0.920715868473053,0.5270167589187622,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5573920011520386,0.4793627858161926,0.27253952622413635,0.4603615999221802,0.5
,,,,,,,,,,,,,17,,1529,,,,0.27621206641197205,,,,,,,,
,,,,,,,,,,,,,,0.001,1530,,,,,,,,,,,,
,,,,,,,,,,,,,18,,1614,0.920715868473053,0.5285601615905762,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5451307892799377,0.4793627858161926,0.2744215726852417,0.4603615999221802,0.5
,,,,,,,,,,,,,18,,1614,,,,0.27583807706832886,,,,,,,,
,,,,,,,,,,,,,,0.001,1615,,,,,,,,,,,,
,,,,,,,,,,,,,19,,1699,0.920715868473053,0.5289795398712158,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5379014015197754,0.4793627858161926,0.2721659541130066,0.4603615999221802,0.5
,,,,,,,,,,,,,19,,1699,,,,0.27742934226989746,,,,,,,,
,,,,,,,,,,,,,,0.001,1700,,,,,,,,,,,,
,,,,,,,,,,,,,20,,1784,0.920715868473053,0.5322350859642029,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5450749397277832,0.4793627858161926,0.2718789577484131,0.4603615999221802,0.5
,,,,,,,,,,,,,20,,1784,,,,0.2771303355693817,,,,,,,,
,,,,,,,,,,,,,,0.001,1785,,,,,,,,,,,,
,,,,,,,,,,,,,21,,1869,0.920715868473053,0.5337138175964355,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.558772087097168,0.4793627858161926,0.27183961868286133,0.4603615999221802,0.5
,,,,,,,,,,,,,21,,1869,,,,0.2751571536064148,,,,,,,,
,,,,,,,,,,,,,,0.001,1870,,,,,,,,,,,,
,,,,,,,,,,,,,22,,1954,0.920715868473053,0.5304875373840332,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5318255424499512,0.4793627858161926,0.2717965245246887,0.4603615999221802,0.5
,,,,,,,,,,,,,22,,1954,,,,0.27675342559814453,,,,,,,,
,,,,,,,,,,,,,,0.001,1955,,,,,,,,,,,,
,,,,,,,,,,,,,23,,2039,0.920715868473053,0.5352582931518555,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.48087078332901,0.4793627858161926,0.2748737633228302,0.4603615999221802,0.5
,,,,,,,,,,,,,23,,2039,,,,0.2766770124435425,,,,,,,,
,,,,,,,,,,,,,,0.001,2040,,,,,,,,,,,,
,,,,,,,,,,,,,24,,2124,0.920715868473053,0.5355257987976074,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5486204624176025,0.4793627858161926,0.2718837857246399,0.4603615999221802,0.5
,,,,,,,,,,,,,24,,2124,,,,0.276523232460022,,,,,,,,
,,,,,,,,,,,,,,0.001,2125,,,,,,,,,,,,
,,,,,,,,,,,,,25,,2209,0.920715868473053,0.5350474715232849,0.47936078906059265,,0.4603579342365265,0.5,0.9207231998443604,0.5475643873214722,0.4793627858161926,0.27183398604393005,0.4603615999221802,0.5
,,,,,,,,,,,,,25,,2209,,,,0.27511441707611084,,,,,,,,
